stem,gt_h,gt_w,lr_h,lr_w,gt_lag1_corr,degenerate
000087,256,256,128,128,0.860938,0
000088,256,256,128,128,0.999279,0
000089,256,256,128,128,0.975482,0
000090,256,256,128,128,0.974673,0
000091,256,256,128,128,0.974817,0
000092,256,256,128,128,0.930816,0
000093,256,256,128,128,0.981018,0
000094,256,256,128,128,0.978539,0
000095,256,256,128,128,0.981001,0
000096,256,256,128,128,0.878227,0
000097,256,256,128,128,0.969349,0
000098,256,256,128,128,0.968451,0
000099,256,256,128,128,0.969002,0
000100,256,256,128,128,0.989241,0
000101,256,256,128,128,0.994424,0
000102,256,256,128,128,0.994048,0
000103,256,256,128,128,0.994343,0
000104,256,256,128,128,0.982852,0
000105,256,256,128,128,0.995582,0
000106,256,256,128,128,0.992273,0
000107,256,256,128,128,0.994302,0
000108,256,256,128,128,0.678855,0
000109,256,256,128,128,0.900309,0
000110,256,256,128,128,0.866030,0
000111,256,256,128,128,0.863328,0
000112,256,256,128,128,0.950822,0
000113,256,256,128,128,0.986983,0
000114,256,256,128,128,0.986742,0
000115,256,256,128,128,0.955881,0
000116,256,256,128,128,0.945729,0
000117,256,256,128,128,0.954626,0
000118,256,256,128,128,0.954587,0
000119,256,256,128,128,0.951562,0
000120,256,256,128,128,0.988564,0
000121,256,256,128,128,0.989531,0
000122,256,256,128,128,0.990956,0
000123,256,256,128,128,0.988483,0
000124,256,256,128,128,0.908463,0
000125,256,256,128,128,0.963356,0
000126,256,256,128,128,0.961820,0
000127,256,256,128,128,0.959082,0
000128,256,256,128,128,0.993098,0
000129,256,256,128,128,0.830659,0
000130,256,256,128,128,0.832500,0
000131,256,256,128,128,0.834258,0
000132,256,256,128,128,0.913254,0
000133,256,256,128,128,0.661891,0
000134,256,256,128,128,0.411767,1
000135,256,256,128,128,0.640938,0
000136,256,256,128,128,0.979743,0
000137,256,256,128,128,0.861046,0
000138,256,256,128,128,0.863011,0
000139,256,256,128,128,0.861155,0
000140,256,256,128,128,0.932999,0
000141,256,256,128,128,0.937456,0
000142,256,256,128,128,0.939328,0
000143,256,256,128,128,0.936107,0
000144,256,256,128,128,0.949872,0
000145,256,256,128,128,0.984027,0
000146,256,256,128,128,0.984357,0
000147,256,256,128,128,0.984077,0
000148,256,256,128,128,0.959056,0
000149,256,256,128,128,0.982798,0
000150,256,256,128,128,0.983162,0
000151,256,256,128,128,0.982756,0
000152,256,256,128,128,0.912296,0
000153,256,256,128,128,0.983020,0
000154,256,256,128,128,0.986024,0
000155,256,256,128,128,0.987674,0
000156,256,256,128,128,0.963854,0
000157,256,256,128,128,0.922547,0
000158,256,256,128,128,0.929345,0
000159,256,256,128,128,0.927966,0
000160,256,256,128,128,0.964638,0
000161,256,256,128,128,0.981319,0
000162,256,256,128,128,0.981800,0
000163,256,256,128,128,0.980635,0
000164,256,256,128,128,0.967493,0
000165,256,256,128,128,0.987213,0
000166,256,256,128,128,0.986443,0
000167,256,256,128,128,0.986781,0
000168,256,256,128,128,0.944103,0
000169,256,256,128,128,0.991976,0
000170,256,256,128,128,0.993271,0
000171,256,256,128,128,0.992560,0
000172,256,256,128,128,0.844662,0
000173,256,256,128,128,0.882124,0
000174,256,256,128,128,0.869299,0
000175,256,256,128,128,0.869202,0
000176,256,256,128,128,0.829676,0
000177,256,256,128,128,0.928783,0
000178,256,256,128,128,0.929011,0
000179,256,256,128,128,0.932175,0
000180,256,256,128,128,0.989774,0
000181,256,256,128,128,0.968985,0
000182,256,256,128,128,0.959172,0
000183,256,256,128,128,0.958734,0
000184,256,256,128,128,0.975428,0
000185,256,256,128,128,0.986418,0
000186,256,256,128,128,0.986908,0
000187,256,256,128,128,0.986421,0
000188,256,256,128,128,0.924302,0
000189,256,256,128,128,0.943091,0
000190,256,256,128,128,0.947010,0
000191,256,256,128,128,0.941435,0
000192,256,256,128,128,0.711604,0
000193,256,256,128,128,0.974760,0
000194,256,256,128,128,0.975644,0
000195,256,256,128,128,0.975767,0
000196,256,256,128,128,0.863854,0
000197,256,256,128,128,0.973221,0
000198,256,256,128,128,0.970721,0
000199,256,256,128,128,0.973226,0
000200,256,256,128,128,0.925145,0
000201,256,256,128,128,0.996404,0
000202,256,256,128,128,0.996817,0
000203,256,256,128,128,0.996525,0
000204,256,256,128,128,0.922035,0
000205,256,256,128,128,0.892460,0
000206,256,256,128,128,0.847909,0
000207,256,256,128,128,0.866541,0
000208,256,256,128,128,0.991022,0
000209,256,256,128,128,0.994361,0
000210,256,256,128,128,0.993840,0
000211,256,256,128,128,0.990823,0
000212,256,256,128,128,0.963672,0
000213,256,256,128,128,0.997357,0
000214,256,256,128,128,0.998224,0
000215,256,256,128,128,0.997449,0
000216,256,256,128,128,0.915260,0
000217,256,256,128,128,0.992297,0
000218,256,256,128,128,0.996020,0
000219,256,256,128,128,0.996268,0
000220,256,256,128,128,0.984557,0
000221,256,256,128,128,0.956668,0
000222,256,256,128,128,0.964885,0
000223,256,256,128,128,0.923324,0
000224,256,256,128,128,0.907106,0
000225,256,256,128,128,0.759612,0
000226,256,256,128,128,0.799796,0
000227,256,256,128,128,0.820378,0
000228,256,256,128,128,0.703428,0
000229,256,256,128,128,0.871741,0
000230,256,256,128,128,0.873234,0
000231,256,256,128,128,0.872545,0
000232,256,256,128,128,0.778530,0
000233,256,256,128,128,0.763416,0
000234,256,256,128,128,0.753106,0
000235,256,256,128,128,0.754190,0
000236,256,256,128,128,0.982327,0
000237,256,256,128,128,0.927316,0
000238,256,256,128,128,0.948281,0
000239,256,256,128,128,0.950120,0
000240,256,256,128,128,0.906863,0
000241,256,256,128,128,0.996422,0
000242,256,256,128,128,0.996426,0
000243,256,256,128,128,0.996426,0
000244,256,256,128,128,0.883556,0
000245,256,256,128,128,0.893996,0
000246,256,256,128,128,0.895214,0
000247,256,256,128,128,0.889366,0
000248,256,256,128,128,0.988797,0
000249,256,256,128,128,0.810566,0
000250,256,256,128,128,0.794028,0
000251,256,256,128,128,0.810600,0
000252,256,256,128,128,0.993153,0
000253,256,256,128,128,0.991676,0
000254,256,256,128,128,0.992725,0
000255,256,256,128,128,0.992996,0
000256,256,256,128,128,0.940357,0
000257,256,256,128,128,0.874423,0
000258,256,256,128,128,0.874438,0
000259,256,256,128,128,0.870785,0
000260,256,256,128,128,0.869128,0
000261,256,256,128,128,0.989777,0
000262,256,256,128,128,0.987362,0
000263,256,256,128,128,0.987668,0
000264,256,256,128,128,0.960238,0
000265,256,256,128,128,0.985277,0
000266,256,256,128,128,0.985678,0
000267,256,256,128,128,0.984854,0
000268,256,256,128,128,0.999344,0
000269,256,256,128,128,0.796750,0
000270,256,256,128,128,0.800070,0
000271,256,256,128,128,0.799716,0
000272,256,256,128,128,0.913562,0
000273,256,256,128,128,0.877386,0
000274,256,256,128,128,0.879998,0
000275,256,256,128,128,0.877758,0
000276,256,256,128,128,0.998737,0
000277,256,256,128,128,0.992727,0
000278,256,256,128,128,0.991654,0
000279,256,256,128,128,0.991827,0
000280,256,256,128,128,0.906317,0
000281,256,256,128,128,0.974330,0
000282,256,256,128,128,0.980748,0
000283,256,256,128,128,0.975294,0
000284,256,256,128,128,0.929702,0
000285,256,256,128,128,0.975233,0
000286,256,256,128,128,0.975296,0
000287,256,256,128,128,0.965072,0
000288,256,256,128,128,0.983869,0
000289,256,256,128,128,0.933371,0
000290,256,256,128,128,0.908593,0
000291,256,256,128,128,0.915741,0
000292,256,256,128,128,0.976213,0
000293,256,256,128,128,0.947376,0
000294,256,256,128,128,0.944345,0
000295,256,256,128,128,0.944068,0
000296,256,256,128,128,0.959994,0
000297,256,256,128,128,0.869266,0
000298,256,256,128,128,0.872028,0
000299,256,256,128,128,0.868028,0
000300,256,256,128,128,-0.001121,1
000301,256,256,128,128,0.977650,0
000302,256,256,128,128,0.984753,0
000303,256,256,128,128,0.985421,0
000304,256,256,128,128,0.971885,0
000305,256,256,128,128,0.978403,0
000306,256,256,128,128,0.976830,0
000307,256,256,128,128,0.976836,0
000308,256,256,128,128,0.998978,0
000309,256,256,128,128,0.881096,0
000310,256,256,128,128,0.881080,0
000311,256,256,128,128,0.881173,0
000312,256,256,128,128,0.880587,0
000313,256,256,128,128,0.998265,0
000314,256,256,128,128,0.997649,0
000315,256,256,128,128,0.998224,0
000316,256,256,128,128,0.751605,0
000317,256,256,128,128,0.953269,0
000318,256,256,128,128,0.954209,0
000319,256,256,128,128,0.950243,0
000320,256,256,128,128,0.919117,0
000321,256,256,128,128,0.984159,0
000322,256,256,128,128,0.981000,0
000323,256,256,128,128,0.982830,0
000324,256,256,128,128,0.956860,0
000325,256,256,128,128,0.954977,0
000326,256,256,128,128,0.944480,0
000327,256,256,128,128,0.944476,0
000328,256,256,128,128,0.989258,0
000329,256,256,128,128,0.935521,0
000330,256,256,128,128,0.935533,0
000331,256,256,128,128,0.930448,0
000332,256,256,128,128,0.991532,0
000333,256,256,128,128,0.936469,0
000334,256,256,128,128,0.934063,0
000335,256,256,128,128,0.934057,0
000336,256,256,128,128,0.984469,0
000337,256,256,128,128,0.992054,0
000338,256,256,128,128,0.992457,0
000339,256,256,128,128,0.990351,0
000340,256,256,128,128,0.981375,0
000341,256,256,128,128,0.996599,0
000342,256,256,128,128,0.996611,0
000343,256,256,128,128,0.996892,0
000344,256,256,128,128,0.986136,0
000345,256,256,128,128,0.986308,0
000346,256,256,128,128,0.985127,0
000347,256,256,128,128,0.985119,0
000348,256,256,128,128,0.975237,0
000349,256,256,128,128,0.961422,0
000350,256,256,128,128,0.956962,0
000351,256,256,128,128,0.944816,0
000352,256,256,128,128,0.003360,1
000353,256,256,128,128,-0.007168,1
000354,256,256,128,128,0.001845,1
000355,256,256,128,128,0.001717,1
000356,256,256,128,128,0.940657,0
000357,256,256,128,128,0.953173,0
000358,256,256,128,128,0.942151,0
000359,256,256,128,128,0.947281,0
000360,256,256,128,128,0.908406,0
000361,256,256,128,128,0.399901,1
000362,256,256,128,128,0.448205,1
000363,256,256,128,128,0.580355,0
000364,256,256,128,128,0.952116,0
000365,256,256,128,128,0.940441,0
000366,256,256,128,128,0.948091,0
000367,256,256,128,128,0.941201,0
000368,256,256,128,128,0.974906,0
000369,256,256,128,128,0.828830,0
000370,256,256,128,128,0.798233,0
000371,256,256,128,128,0.820694,0
000372,256,256,128,128,0.984679,0
000373,256,256,128,128,0.948070,0
000374,256,256,128,128,0.943275,0
000375,256,256,128,128,0.947657,0
000376,256,256,128,128,0.880517,0
000377,256,256,128,128,0.878386,0
000378,256,256,128,128,0.899020,0
000379,256,256,128,128,0.885165,0
000380,256,256,128,128,0.963283,0
000381,256,256,128,128,0.901482,0
000382,256,256,128,128,0.887454,0
000383,256,256,128,128,0.911394,0
000384,256,256,128,128,0.994172,0
000385,256,256,128,128,0.725376,0
000386,256,256,128,128,0.680838,0
000387,256,256,128,128,0.711276,0
000388,256,256,128,128,0.982598,0
000389,256,256,128,128,0.952125,0
000390,256,256,128,128,0.901847,0
000391,256,256,128,128,0.953175,0
000392,256,256,128,128,0.977860,0
000393,256,256,128,128,0.989302,0
000394,256,256,128,128,0.989956,0
000395,256,256,128,128,0.995914,0
000396,256,256,128,128,0.884475,0
000397,256,256,128,128,0.707766,0
000398,256,256,128,128,0.650140,0
000399,256,256,128,128,0.665280,0
000400,256,256,128,128,0.999531,0
000401,256,256,128,128,0.983608,0
000402,256,256,128,128,0.949360,0
000403,256,256,128,128,0.958490,0
000404,256,256,128,128,0.867056,0
000405,256,256,128,128,-0.003936,1
000406,256,256,128,128,0.004705,1
000407,256,256,128,128,0.003130,1
000408,256,256,128,128,0.980475,0
000409,256,256,128,128,0.997985,0
000410,256,256,128,128,0.998049,0
000411,256,256,128,128,0.997930,0
000412,256,256,128,128,0.987690,0
000413,256,256,128,128,0.859100,0
000414,256,256,128,128,0.863427,0
000415,256,256,128,128,0.863011,0
000416,256,256,128,128,0.987614,0
000417,256,256,128,128,0.962074,0
000418,256,256,128,128,0.959583,0
000419,256,256,128,128,0.963458,0
000420,256,256,128,128,0.981596,0
000421,256,256,128,128,0.985662,0
000422,256,256,128,128,0.985719,0
000423,256,256,128,128,0.985651,0
000424,256,256,128,128,0.984784,0
000425,256,256,128,128,0.984753,0
000426,256,256,128,128,0.987708,0
000427,256,256,128,128,0.987957,0
000428,256,256,128,128,0.951550,0
000429,256,256,128,128,0.947130,0
000430,256,256,128,128,0.939393,0
000431,256,256,128,128,0.947945,0
000432,256,256,128,128,0.988382,0
000433,256,256,128,128,0.971033,0
000434,256,256,128,128,0.968992,0
000435,256,256,128,128,0.965712,0
000436,256,256,128,128,0.966589,0
000437,256,256,128,128,0.986103,0
000438,256,256,128,128,0.987874,0
000439,256,256,128,128,0.987897,0
000440,256,256,128,128,0.981672,0
000441,256,256,128,128,0.991973,0
000442,256,256,128,128,0.993443,0
000443,256,256,128,128,0.992760,0
000444,256,256,128,128,0.949504,0
000445,256,256,128,128,0.980454,0
000446,256,256,128,128,0.980855,0
000447,256,256,128,128,0.979894,0
000448,256,256,128,128,0.920181,0
000449,256,256,128,128,0.981426,0
000450,256,256,128,128,0.979040,0
000451,256,256,128,128,0.978698,0
000452,256,256,128,128,0.996300,0
000453,256,256,128,128,0.902358,0
000454,256,256,128,128,0.907660,0
000455,256,256,128,128,0.896306,0
000456,256,256,128,128,0.941177,0
000457,256,256,128,128,0.901872,0
000458,256,256,128,128,0.901874,0
000459,256,256,128,128,0.900307,0
000460,256,256,128,128,0.979459,0
000461,256,256,128,128,0.999783,0
000462,256,256,128,128,0.999761,0
000463,256,256,128,128,0.999716,0
000464,256,256,128,128,0.976248,0
000465,256,256,128,128,0.944261,0
000466,256,256,128,128,0.943951,0
000467,256,256,128,128,0.943860,0
000468,256,256,128,128,0.458840,1
000469,256,256,128,128,0.896292,0
000470,256,256,128,128,0.890636,0
000471,256,256,128,128,0.898031,0
000472,256,256,128,128,0.985231,0
000473,256,256,128,128,0.996206,0
000474,256,256,128,128,0.995995,0
000475,256,256,128,128,0.995591,0
000476,256,256,128,128,0.921169,0
000477,256,256,128,128,0.915809,0
000478,256,256,128,128,0.921639,0
000479,256,256,128,128,0.911964,0
000480,256,256,128,128,0.836056,0
000481,256,256,128,128,0.991250,0
000482,256,256,128,128,0.990843,0
000483,256,256,128,128,0.991165,0
000484,256,256,128,128,0.936613,0
000485,256,256,128,128,0.997414,0
000486,256,256,128,128,0.997537,0
000487,256,256,128,128,0.997490,0
000488,256,256,128,128,0.892634,0
000489,256,256,128,128,0.960678,0
000490,256,256,128,128,0.953015,0
000491,256,256,128,128,0.953158,0
000492,256,256,128,128,0.830413,0
000493,256,256,128,128,0.852010,0
000494,256,256,128,128,0.844840,0
000495,256,256,128,128,0.844302,0
000496,256,256,128,128,0.785376,0
000497,256,256,128,128,0.878047,0
000498,256,256,128,128,0.875483,0
000499,256,256,128,128,0.859244,0
000500,256,256,128,128,0.908745,0
000501,256,256,128,128,0.934451,0
000502,256,256,128,128,0.926839,0
000503,256,256,128,128,0.923063,0
000504,256,256,128,128,0.973660,0
000505,256,256,128,128,0.936635,0
000506,256,256,128,128,0.930868,0
000507,256,256,128,128,0.931622,0
000508,256,256,128,128,0.991613,0
000509,256,256,128,128,0.709829,0
000510,256,256,128,128,0.684258,0
000511,256,256,128,128,0.695434,0
000512,256,256,128,128,0.957739,0
000513,256,256,128,128,0.966317,0
000514,256,256,128,128,0.965899,0
000515,256,256,128,128,0.965193,0
000516,256,256,128,128,0.924877,0
000517,256,256,128,128,0.955412,0
000518,256,256,128,128,0.946508,0
000519,256,256,128,128,0.949324,0
000520,256,256,128,128,0.865175,0
000521,256,256,128,128,0.992913,0
000522,256,256,128,128,0.993526,0
000523,256,256,128,128,0.993598,0
000524,256,256,128,128,0.847513,0
000525,256,256,128,128,0.977651,0
000526,256,256,128,128,0.951496,0
000527,256,256,128,128,0.953212,0
000528,256,256,128,128,0.543601,0
000529,256,256,128,128,0.891026,0
000530,256,256,128,128,0.911055,0
000531,256,256,128,128,0.860544,0
000532,256,256,128,128,0.849548,0
000533,256,256,128,128,0.918772,0
000534,256,256,128,128,0.892579,0
000535,256,256,128,128,0.895795,0
000536,256,256,128,128,0.995006,0
000537,256,256,128,128,0.994721,0
000538,256,256,128,128,0.995226,0
000539,256,256,128,128,0.994542,0
000540,256,256,128,128,0.946383,0
000541,256,256,128,128,0.997463,0
000542,256,256,128,128,0.996917,0
000543,256,256,128,128,0.997457,0
000544,256,256,128,128,0.885915,0
000545,256,256,128,128,0.973682,0
000546,256,256,128,128,0.971864,0
000547,256,256,128,128,0.967455,0
000548,256,256,128,128,0.998195,0
000549,256,256,128,128,0.936211,0
000550,256,256,128,128,0.929003,0
000551,256,256,128,128,0.942160,0
000552,256,256,128,128,0.896084,0
000553,256,256,128,128,0.997948,0
000554,256,256,128,128,0.998141,0
000555,256,256,128,128,0.998141,0
000556,256,256,128,128,0.989824,0
000557,256,256,128,128,0.992430,0
000558,256,256,128,128,0.992723,0
000559,256,256,128,128,0.992056,0
000560,256,256,128,128,0.926369,0
000561,256,256,128,128,0.928013,0
000562,256,256,128,128,0.928046,0
000563,256,256,128,128,0.930360,0
000564,256,256,128,128,0.985310,0
000565,256,256,128,128,0.822859,0
000566,256,256,128,128,0.823257,0
000567,256,256,128,128,0.803595,0
000568,256,256,128,128,0.919796,0
000569,256,256,128,128,0.959388,0
000570,256,256,128,128,0.955094,0
000571,256,256,128,128,0.959450,0
000572,256,256,128,128,0.926610,0
000573,256,256,128,128,0.949200,0
000574,256,256,128,128,0.962435,0
000575,256,256,128,128,0.958201,0
000576,256,256,128,128,0.929538,0
000577,256,256,128,128,0.881416,0
000578,256,256,128,128,0.896310,0
000579,256,256,128,128,0.893052,0
000580,256,256,128,128,0.991542,0
000581,256,256,128,128,0.984533,0
000582,256,256,128,128,0.987087,0
000583,256,256,128,128,0.989300,0
000584,256,256,128,128,0.959438,0
000585,256,256,128,128,0.897650,0
000586,256,256,128,128,0.897474,0
000587,256,256,128,128,0.897900,0
000588,256,256,128,128,0.993026,0
000589,256,256,128,128,0.986592,0
000590,256,256,128,128,0.986429,0
000591,256,256,128,128,0.985601,0
000592,256,256,128,128,0.994779,0
000593,256,256,128,128,0.921972,0
000594,256,256,128,128,0.958828,0
000595,256,256,128,128,0.916510,0
000596,256,256,128,128,0.980864,0
000597,256,256,128,128,0.975446,0
000598,256,256,128,128,0.980110,0
000599,256,256,128,128,0.980101,0
000600,256,256,128,128,0.996735,0
000601,256,256,128,128,0.996570,0
000602,256,256,128,128,0.996568,0
000603,256,256,128,128,0.996410,0
000604,256,256,128,128,0.972855,0
000605,256,256,128,128,0.946748,0
000606,256,256,128,128,0.945343,0
000607,256,256,128,128,0.962238,0
000608,256,256,128,128,0.972011,0
000609,256,256,128,128,0.967139,0
000610,256,256,128,128,0.965494,0
000611,256,256,128,128,0.934818,0
000612,256,256,128,128,0.993788,0
000613,256,256,128,128,0.825125,0
000614,256,256,128,128,0.863045,0
000615,256,256,128,128,0.862961,0
000616,256,256,128,128,0.973354,0
000617,256,256,128,128,0.955375,0
000618,256,256,128,128,0.954294,0
000619,256,256,128,128,0.955040,0
000620,256,256,128,128,0.986033,0
000621,256,256,128,128,0.906773,0
000622,256,256,128,128,0.904722,0
000623,256,256,128,128,0.900289,0
000624,256,256,128,128,0.863077,0
000625,256,256,128,128,-0.000109,1
000626,256,256,128,128,-0.002158,1
000627,256,256,128,128,0.001280,1
000628,256,256,128,128,0.989649,0
000629,256,256,128,128,0.926196,0
000630,256,256,128,128,0.927177,0
000631,256,256,128,128,0.926414,0
000632,256,256,128,128,0.985723,0
000633,256,256,128,128,0.984398,0
000634,256,256,128,128,0.984717,0
000635,256,256,128,128,0.984727,0
000636,256,256,128,128,0.885358,0
000637,256,256,128,128,0.920492,0
000638,256,256,128,128,0.924562,0
000639,256,256,128,128,0.925156,0
000640,256,256,128,128,0.960253,0
000641,256,256,128,128,0.343542,1
000642,256,256,128,128,0.335405,1
000643,256,256,128,128,0.920423,0
000644,256,256,128,128,0.876830,0
000645,256,256,128,128,0.926554,0
000646,256,256,128,128,0.937898,0
000647,256,256,128,128,0.927659,0
000648,256,256,128,128,0.921155,0
000649,256,256,128,128,0.933119,0
000650,256,256,128,128,0.931543,0
000651,256,256,128,128,0.933110,0
000652,256,256,128,128,0.951721,0
000653,256,256,128,128,0.880622,0
000654,256,256,128,128,0.877969,0
000655,256,256,128,128,0.881005,0
000656,256,256,128,128,0.963511,0
000657,256,256,128,128,0.941407,0
000658,256,256,128,128,0.941461,0
000659,256,256,128,128,0.910324,0
000660,256,256,128,128,0.986745,0
000661,256,256,128,128,0.995712,0
000662,256,256,128,128,0.995874,0
000663,256,256,128,128,0.995164,0
000664,256,256,128,128,0.604573,0
000665,256,256,128,128,0.775793,0
000666,256,256,128,128,0.457469,1
000667,256,256,128,128,0.475676,1
000668,256,256,128,128,0.996001,0
000669,256,256,128,128,0.981249,0
000670,256,256,128,128,0.986674,0
000671,256,256,128,128,0.982849,0
000672,256,256,128,128,0.869148,0
000673,256,256,128,128,0.938897,0
000674,256,256,128,128,0.933996,0
000675,256,256,128,128,0.935196,0
000676,256,256,128,128,0.869812,0
000677,256,256,128,128,0.808048,0
000678,256,256,128,128,0.808048,0
000679,256,256,128,128,0.796845,0
000680,256,256,128,128,0.995203,0
000681,256,256,128,128,0.989237,0
000682,256,256,128,128,0.989903,0
000683,256,256,128,128,0.989319,0
000684,256,256,128,128,0.949978,0
000685,256,256,128,128,0.990829,0
000686,256,256,128,128,0.991037,0
000687,256,256,128,128,0.987464,0
000688,256,256,128,128,0.989672,0
000689,256,256,128,128,0.966456,0
000690,256,256,128,128,0.967556,0
000691,256,256,128,128,0.967586,0
000692,256,256,128,128,0.991045,0
000693,256,256,128,128,0.979727,0
000694,256,256,128,128,0.977028,0
000695,256,256,128,128,0.980988,0
000696,256,256,128,128,0.965340,0
000697,256,256,128,128,0.980759,0
000698,256,256,128,128,0.981850,0
000699,256,256,128,128,0.976028,0
000700,256,256,128,128,0.994642,0
000701,256,256,128,128,0.778549,0
000702,256,256,128,128,0.771848,0
000703,256,256,128,128,0.784663,0
000704,256,256,128,128,0.990122,0
000705,256,256,128,128,0.528665,0
000706,256,256,128,128,0.529009,0
000707,256,256,128,128,0.567757,0
000708,256,256,128,128,0.948181,0
000709,256,256,128,128,0.988438,0
000710,256,256,128,128,0.991906,0
000711,256,256,128,128,0.991887,0
000712,256,256,128,128,0.986493,0
000713,256,256,128,128,0.995073,0
000714,256,256,128,128,0.995565,0
000715,256,256,128,128,0.995516,0
000716,256,256,128,128,0.899436,0
000717,256,256,128,128,0.860237,0
000718,256,256,128,128,0.861105,0
000719,256,256,128,128,0.858074,0
000720,256,256,128,128,0.889854,0
000721,256,256,128,128,0.976090,0
000722,256,256,128,128,0.977837,0
000723,256,256,128,128,0.978291,0
000724,256,256,128,128,0.713006,0
000725,256,256,128,128,0.744617,0
000726,256,256,128,128,0.747085,0
000727,256,256,128,128,0.762981,0
000728,256,256,128,128,0.983558,0
000729,256,256,128,128,0.983946,0
000730,256,256,128,128,0.978623,0
000731,256,256,128,128,0.983413,0
000732,256,256,128,128,0.941361,0
000733,256,256,128,128,0.763479,0
000734,256,256,128,128,0.776435,0
000735,256,256,128,128,0.717959,0
000736,256,256,128,128,0.971597,0
000737,256,256,128,128,0.994190,0
000738,256,256,128,128,0.998681,0
000739,256,256,128,128,0.998632,0
000740,256,256,128,128,0.972410,0
000741,256,256,128,128,0.969851,0
000742,256,256,128,128,0.968223,0
000743,256,256,128,128,0.969842,0
000744,256,256,128,128,0.823214,0
000745,256,256,128,128,0.992249,0
000746,256,256,128,128,0.991495,0
000747,256,256,128,128,0.991151,0
000748,256,256,128,128,0.956266,0
000749,256,256,128,128,0.908062,0
000750,256,256,128,128,0.910516,0
000751,256,256,128,128,0.908010,0
000752,256,256,128,128,0.961278,0
000753,256,256,128,128,0.912382,0
000754,256,256,128,128,0.900602,0
000755,256,256,128,128,0.904933,0
000756,256,256,128,128,0.983690,0
000757,256,256,128,128,0.998649,0
000758,256,256,128,128,0.998647,0
000759,256,256,128,128,0.995428,0
000760,256,256,128,128,0.800530,0
000761,256,256,128,128,0.837559,0
000762,256,256,128,128,0.835099,0
000763,256,256,128,128,0.842287,0
000764,256,256,128,128,0.878845,0
000765,256,256,128,128,0.988798,0
000766,256,256,128,128,0.985475,0
000767,256,256,128,128,0.988795,0
000768,256,256,128,128,0.906549,0
000769,256,256,128,128,0.949611,0
000770,256,256,128,128,0.951688,0
000771,256,256,128,128,0.950807,0
000772,256,256,128,128,0.977841,0
